FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021",CHANGE IN EMISSIONS (2020 TO 2021),CHANGE IN EMISSIONS (2011 TO 2021),SECTORS
NEW YORK UNIVERSITY CENTRAL PLANT,1004629,251 MERCER STREET,40.728403,-73.995407,NEW YORK,NEW YORK COUNTY,NY,10012,NEW YORK UNIVERSITY (100%),C,"99,319","82,713","84,233","88,244","86,456","82,316","74,344","78,742","78,604","64,779","69,276","4,498","-30,043",Other
NORTHEASTERN UNIVERSITY,1005277,360 HUNTINGTON AVENUE,42.34012,-71.08933,BOSTON,SUFFOLK COUNTY,MA,02115,NORTHEASTERN UNIVERSITY (100%),C,"30,348","31,573","33,735","31,160","31,316","28,985","30,011","30,846","29,883","27,380","27,139",-241,"-3,209",Other
NORTHWESTERN UNIVERSITY,1004520,2020 RIDGE AVE,42.054816,-87.674477,EVANSTON,COOK COUNTY,IL,60208,NORTHWESTERN UNIVERSITY (100%),C,"64,538","65,186","58,184","66,337","69,467","73,040","71,180","77,878","77,089","67,444","70,779","3,335","6,241",Other
NORTHWESTERN UNIVERSITY CHICAGO CAMPUS,1004522,410 E HURON,41.895256,-87.6173,CHICAGO,COOK COUNTY,IL,60611,NORTHWESTERN UNIVERSITY (100%),C,"35,482","31,277","34,521","34,007","29,944","28,976","29,358","28,405",---,---,"25,738",---,"-9,744",Other
OHIO UNIVERSITY LAUSCHE HEATING PLANT (0605010016),1006948,FACTORY STREET,39.32756,-82.10858,ATHENS,ATHENS COUNTY,OH,45701,STATE OF OHIO (100%),C,"75,425","48,460",---,"53,733","43,346","34,236","26,847","29,461","29,877","28,339","27,342",-997,"-48,083",Other
OREGON STATE UNIVERSITY,1004658,100 Oak Creek Building,44.564272,-123.278594,CORVALLIS,BENTON COUNTY,OR,97331,OREGON STATE BOARD OF HIGHER EDUCATION (100%),C,"46,971","44,137","48,202","43,242","39,790","36,610","38,549","37,261","40,208","38,310","35,505","-2,805","-11,465",Other
Penn State - University Park,1001751,101P Physical Plant Building,40.820844,-77.864416,University Park,CENTRE COUNTY,PA,16802,THE PENNSYLVANIA STATE UNIVERSITY (100%),C,"184,969","168,078","169,030","167,739","136,984","109,137","109,250","114,504","112,120","105,317","107,885","2,568","-77,084",Other
Purdue University-Wade Utility,1000165,419 South Grant Street,40.4172,-86.9117,West Lafayette,Tippecanoe,IN,47907,STATE OF INDIANA (100%),C,"409,031","396,771","341,668","327,752","305,962","328,186","284,953","279,655","309,999","304,068","352,284","48,217","-56,746",Other
RICE UNIVERSITY,1004671,6100 MAIN STREET,29.72061,-95.39375,HOUSTON,HARRIS COUNTY,TX,77005,WILLIAM MARSH RICE UNIVERSITY INC (100%),C,"30,084","29,449",---,---,"26,262",---,"25,351",---,---,---,---,---,---,Other
ROWAN UNIV,1006073,201 MULLICA HILL ROAD,39.708639,-75.119432,GLASSBORO,GLOUCESTER COUNTY,NJ,08028,ROWAN UNIVERSITY (100%),C,"34,359","28,019",---,---,---,---,"25,908",---,"32,089",---,---,---,---,Other
